RIC;ISIN;Company Common Name;TRBC Economic Sector Name;Country of Issuer
HYQGn.DE;DE0005493365;Hypoport SE;Technology;Germany
DUEG.DE;DE0005565204;Duerr AG;Industrials;Germany
DWSG.DE;DE000DWS1007;DWS Group GmbH & Co KgaA;Financials;Germany
S92G.DE;DE000A0DJ6J9;SMA Solar Technology AG;Technology;Germany
PBBG.DE;DE0008019001;Deutsche Pfandbriefbank AG;Financials;Germany
DMPG.DE;DE000A2GS5D8;Dermapharm Holding SE;Healthcare;Germany
HLAG.DE;DE000HLAG475;Hapag Lloyd AG;Industrials;Germany
B4B.DE;DE000BFB0019;Metro AG;Consumer Non-Cyclicals;Germany
AOXG.DE;DE000A0LD2U1;alstria office REIT AG;Real Estate;Germany
KCOGn.DE;DE000KC01000;Kloeckner & Co SE;Basic Materials;Germany
COP1n.DE;DE000A288904;CompuGroup Medical SE & Co KgaA;Technology;Germany
SOWGn.DE;DE000A2GS401;Software AG;Technology;Germany
FIEG.DE;DE0005772206;Fielmann AG;Consumer Cyclicals;Germany
JENGn.DE;DE000A2NB601;Jenoptik AG;Industrials;Germany
GLJn.DE;DE000A161N30;Grenke AG;Financials;Germany
AFMD.O;NL0010872420;Affimed NV;Healthcare;Germany
COKG.DE;DE0005419105;Cancom SE;Technology;Germany
ATAI.O;NL0015000DX5;ATAI Life Sciences NV;Healthcare;Germany
VTWRn.DE;DE000A3H3LL2;Vantage Towers AG;Industrials;Germany
SZUG.DE;DE0007297004;Suedzucker AG;Consumer Non-Cyclicals;Germany
BVB.DE;DE0005493092;Borussia Dortmund GmbH & Co KGaA;Consumer Cyclicals;Germany
TLXGn.DE;DE000TLX1005;Talanx AG;Financials;Germany
WEW.DE;DE000A2N4H07;Westwing Group AG;Consumer Cyclicals;Germany
SIXG.DE;DE0007231326;Sixt SE;Industrials;Germany
1U1.DE;DE0005545503;1&1 AG;Technology;Germany
GBFG.DE;DE0005909006;Bilfinger SE;Industrials;Germany
CE2G.DE;DE000A0LAUP1;CropEnergies AG;Energy;Germany
DEZG.DE;DE0006305006;DEUTZ AG;Industrials;Germany
TPEG.DE;DE0007461006;PVA TePla AG;Technology;Germany
MUXG.DE;DE000A2NB650;Mutares SE & Co KgaA;Financials;Germany
CECG.DE;DE0007257503;Ceconomy AG;Consumer Cyclicals;Germany
NA9n.DE;DE000A3H2200;Nagarro SE;Technology;Germany
HBH.DE;DE0006083405;Hornbach Holding AG & Co KGaA;Consumer Cyclicals;Germany
KRNG.DE;DE0006335003;Krones AG;Industrials;Germany
ADNGk.DE;DE000A0Z23Q5;adesso SE;Technology;Germany
LEOGn.DE;DE0005408884;Leoni AG;Industrials;Germany
LPKG.DE;DE0006450000;LPKF Laser & Electronics AG;Technology;Germany
DEQGn.DE;DE0007480204;Deutsche Euroshop AG;Real Estate;Germany
SMHNn.DE;DE000A1K0235;SUESS MicroTec SE;Technology;Germany
NOEJ.DE;DE000A1H8BV3;Norma Group SE;Industrials;Germany
AR4G.DE;DE000A0JK2A8;Aurelius Equity Opportunities SE & Co KGaA;Financials;Germany
H24.DE;DE000A14KEB5;home24 SE;Consumer Cyclicals;Germany
